week_index;year;monday;total;0_30;30_35;35_40;40_45;45_50;50_55;55_60;60_65;65_70;70_75;75_80;80_85;85_90;90_95;gt_95
441;2018;11.06.18;15582;150;50;57;84;194;430;640;888;1099;1269;2305;2806;2794;2041;775
442;2018;18.06.18;15843;158;39;85;92;217;430;630;895;1097;1267;2311;2938;2738;2077;869
443;2018;25.06.18;16569;155;53;82;96;205;425;665;939;1155;1341;2398;3072;2905;2241;837
444;2018;02.07.18;16622;152;55;67;94;199;414;674;895;1134;1360;2383;3041;2940;2339;875
445;2018;09.07.18;16070;150;53;75;120;211;383;654;874;1225;1283;2275;2899;2878;2125;865
446;2018;16.07.18;16702;150;44;74;116;219;391;648;898;1245;1353;2375;2973;3005;2283;928
447;2018;23.07.18;18340;157;72;80;111;223;430;671;955;1197;1448;2617;3467;3349;2513;1050
448;2018;30.07.18;20371;165;52;89;124;212;487;768;1006;1399;1561;2868;3751;3859;2842;1188
449;2018;06.08.18;18478;166;60;72;102;220;441;686;926;1294;1442;2674;3420;3403;2521;1051
450;2018;13.08.18;16890;153;49;74;108;195;420;628;905;1186;1356;2515;3088;3015;2305;893
451;2018;20.08.18;16612;158;55;74;97;210;393;673;892;1199;1282;2308;3085;3043;2283;860
452;2018;27.08.18;16000;124;38;63;93;208;409;642;866;1162;1268;2262;2930;2947;2116;872
453;2018;03.09.18;16390;134;48;74;90;191;418;654;860;1200;1389;2296;3090;2908;2138;900
454;2018;10.09.18;16292;144;55;60;109;215;394;633;867;1156;1292;2313;3070;2925;2205;854
455;2018;17.09.18;16651;155;47;66;93;197;441;640;936;1191;1314;2351;3085;2910;2299;926
456;2018;24.09.18;15969;131;39;59;101;187;402;662;846;1152;1224;2309;3000;2836;2147;874
457;2018;01.10.18;16622;148;46;66;98;209;419;670;927;1218;1382;2283;3080;2950;2250;876
458;2018;08.10.18;16993;161;45;80;107;193;422;656;879;1180;1361;2447;3170;3095;2268;929
459;2018;15.10.18;16552;148;38;61;90;186;407;688;888;1159;1360;2427;3000;2907;2270;923
460;2018;22.10.18;16608;132;55;62;100;206;420;643;880;1157;1319;2372;3139;2964;2226;933
461;2018;29.10.18;16895;135;42;75;96;197;393;704;875;1178;1305;2457;3265;2960;2273;940
462;2018;05.11.18;17604;145;54;85;99;176;420;713;925;1260;1392;2475;3287;3155;2423;995
463;2018;12.11.18;16842;146;47;71;93;198;387;680;899;1229;1357;2413;3144;3047;2251;880
464;2018;19.11.18;17785;164;56;83;100;199;434;657;928;1189;1346;2580;3465;3261;2307;1016
465;2018;26.11.18;18091;123;48;75;94;209;444;702;948;1196;1377;2608;3556;3168;2545;998
466;2018;03.12.18;18342;129;52;78;120;195;410;666;941;1244;1462;2591;3519;3343;2556;1036
467;2018;10.12.18;17943;136;53;80;101;195;388;692;915;1269;1457;2569;3442;3161;2479;1006
468;2018;17.12.18;18990;168;45;71;109;202;413;709;981;1287;1508;2634;3680;3395;2629;1159
469;2018;24.12.18;17954;134;47;56;100;184;414;650;935;1183;1339;2524;3452;3238;2631;1067
470;2019;31.12.18;18686;153;53;65;116;186;450;666;991;1293;1442;2549;3526;3375;2731;1090
471;2019;07.01.19;19170;154;56;80;118;195;464;707;1016;1353;1477;2601;3681;3498;2632;1138
472;2019;14.01.19;19163;152;49;70;105;234;474;692;953;1291;1455;2697;3624;3560;2708;1099
473;2019;21.01.19;19505;141;57;60;90;214;429;752;1004;1321;1530;2678;3712;3567;2736;1214
474;2019;28.01.19;19812;158;39;78;117;230;414;757;1028;1350;1479;2821;3804;3623;2764;1150
475;2019;04.02.19;19981;163;64;88;105;220;465;739;1023;1363;1605;2712;3833;3656;2797;1148
476;2019;11.02.19;20150;166;48;80;119;206;440;739;1034;1392;1622;2868;3933;3634;2769;1100
477;2019;18.02.19;20349;156;44;75;104;227;473;712;976;1400;1587;2800;3876;3811;2901;1207
478;2019;25.02.19;20790;150;56;77;126;206;499;736;1073;1460;1608;2846;4019;3788;2938;1208
479;2019;04.03.19;20453;151;41;89;123;214;469;717;1084;1325;1538;2865;3996;3779;2897;1165
480;2019;11.03.19;19795;154;53;72;100;208;419;724;1012;1328;1554;2774;3791;3657;2819;1130
481;2019;18.03.19;19016;133;42;75;105;175;461;721;971;1282;1484;2609;3594;3503;2724;1137
482;2019;25.03.19;18562;159;63;64;114;200;399;649;967;1283;1459;2603;3604;3269;2663;1066
483;2019;01.04.19;18671;135;45;75;103;202;408;719;958;1296;1437;2682;3582;3406;2559;1064
484;2019;08.04.19;17852;144;61;71;112;205;397;651;908;1207;1393;2499;3472;3244;2476;1012
485;2019;15.04.19;18089;156;55;69;92;195;430;663;938;1274;1453;2544;3471;3210;2505;1034
486;2019;22.04.19;17894;127;60;74;77;201;413;703;926;1216;1475;2469;3443;3184;2481;1045
487;2019;29.04.19;17090;130;58;66;94;185;370;703;888;1199;1285;2379;3299;3015;2451;968
488;2019;06.05.19;17118;131;54;70;99;174;366;668;903;1248;1397;2445;3349;2965;2290;959
489;2019;13.05.19;17315;130;56;73;94;171;416;649;936;1239;1370;2441;3369;2966;2391;1014
490;2019;20.05.19;17080;155;47;63;107;202;373;689;901;1205;1394;2342;3277;3011;2338;976
491;2019;27.05.19;16921;144;30;61;111;196;422;678;852;1235;1356;2381;3148;2991;2384;932
492;2019;03.06.19;17491;168;61;77;120;195;412;663;915;1239;1371;2496;3350;3025;2390;1009
493;2019;10.06.19;16484;123;52;77;116;184;399;684;898;1190;1285;2293;3110;2915;2258;900
494;2019;17.06.19;16639;141;55;73;107;204;409;665;903;1130;1304;2293;3270;3007;2179;899
495;2019;24.06.19;17918;156;48;84;105;216;416;692;989;1210;1376;2421;3477;3235;2473;1020
496;2019;01.07.19;16552;149;52;69;110;181;385;698;904;1196;1340;2312;3171;2880;2200;905
497;2019;08.07.19;16319;119;42;60;94;164;378;647;870;1176;1335;2236;3142;2862;2266;928
498;2019;15.07.19;16856;147;48;68;94;175;396;691;931;1208;1270;2282;3261;3050;2315;920
499;2019;22.07.19;19630;176;54;84;100;206;429;675;981;1415;1563;2617;3921;3476;2769;1164
500;2019;29.07.19;17034;138;53;71;101;213;434;649;869;1247;1392;2246;3283;2984;2391;963
501;2019;05.08.19;16540;142;49;83;109;178;347;627;893;1192;1312;2361;3200;2906;2228;913
502;2019;12.08.19;15934;158;40;76;107;163;393;610;829;1127;1278;2158;3083;2794;2202;916
503;2019;19.08.19;16263;136;49;74;94;202;395;620;893;1189;1278;2267;3115;2850;2245;856
504;2019;26.08.19;17637;158;51;89;98;183;393;677;922;1236;1405;2360;3425;3253;2372;1015
505;2019;02.09.19;15988;139;47;85;107;191;389;630;841;1167;1281;2181;3048;2879;2130;873
506;2019;09.09.19;16303;128;61;72;102;185;432;622;838;1161;1271;2237;3197;2853;2223;921
507;2019;16.09.19;16500;148;59;71;88;168;409;681;876;1228;1280;2260;3120;2880;2307;925
508;2019;23.09.19;17402;127;43;72;102;183;409;660;957;1241;1357;2353;3404;3091;2431;972
509;2019;30.09.19;16899;160;44;57;103;189;395;605;894;1171;1373;2345;3263;3039;2314;947
510;2019;07.10.19;17666;126;52;96;94;178;403;689;915;1249;1356;2414;3371;3226;2496;1001
511;2019;14.10.19;17713;133;44;77;102;212;370;664;932;1183;1422;2411;3442;3190;2445;1086
512;2019;21.10.19;17327;135;49;80;112;176;370;633;958;1224;1386;2327;3374;3029;2453;1021
513;2019;28.10.19;17488;135;46;60;112;197;397;686;917;1213;1375;2444;3403;3060;2454;989
514;2019;04.11.19;17859;147;47;92;95;213;426;674;929;1250;1402;2372;3474;3210;2519;1009
515;2019;11.11.19;18242;135;46;72;120;181;420;750;924;1242;1472;2426;3585;3240;2592;1037
516;2019;18.11.19;18535;136;60;72;115;172;386;676;940;1193;1414;2428;3681;3479;2654;1129
517;2019;25.11.19;18581;133;47;74;90;207;337;669;991;1277;1431;2538;3620;3315;2743;1109
518;2019;02.12.19;19143;149;53;81;95;200;410;726;1030;1316;1534;2465;3703;3536;2763;1082
519;2019;09.12.19;19101;151;68;95;85;209;392;660;952;1302;1546;2628;3692;3545;2677;1099
520;2019;16.12.19;19062;154;36;78;93;175;408;707;958;1355;1519;2573;3719;3475;2695;1117
521;2019;23.12.19;18204;119;35;76;100;158;383;686;874;1254;1392;2366;3600;3402;2664;1095
522;2020;30.12.19;18883;137;74;82;119;203;392;730;983;1240;1420;2416;3662;3503;2783;1139
523;2020;06.01.20;19408;135;56;98;111;198;433;715;1000;1271;1558;2470;3738;3525;2926;1174
524;2020;13.01.20;18953;130;62;79;102;190;449;723;1003;1259;1459;2424;3701;3526;2746;1100
525;2020;20.01.20;18827;117;47;78;111;175;442;676;948;1329;1522;2502;3650;3456;2676;1098
526;2020;27.01.20;19774;160;41;79;117;193;455;722;988;1432;1488;2611;3931;3603;2768;1186
527;2020;03.02.20;19038;151;51;77;115;185;426;751;951;1310;1511;2520;3615;3519;2719;1137
528;2020;10.02.20;19648;153;41;72;128;199;407;738;1023;1336;1507;2621;3890;3563;2834;1136
529;2020;17.02.20;18953;154;45;90;100;198;410;670;1018;1374;1494;2440;3789;3363;2651;1157
530;2020;24.02.20;19505;142;55;73;106;202;384;717;1039;1300;1503;2533;3900;3523;2884;1144
531;2020;02.03.20;19667;168;53;71;111;165;406;737;997;1351;1512;2485;3803;3697;2911;1200
532;2020;09.03.20;19849;135;45;83;118;192;415;696;1036;1381;1596;2541;3963;3553;2890;1205
533;2020;16.03.20;19722;141;57;67;102;233;434;691;1037;1401;1561;2582;3808;3634;2798;1176
534;2020;23.03.20;19678;131;44;81;113;182;436;748;970;1360;1559;2505;3956;3634;2784;1175
535;2020;30.03.20;20662;135;52;89;129;214;412;724;1002;1399;1624;2761;4060;3880;2958;1223
536;2020;06.04.20;20502;127;44;80;113;199;437;737;1013;1414;1563;2609;4119;3843;2983;1221
537;2020;13.04.20;19261;140;62;77;129;182;420;663;941;1283;1524;2521;3829;3580;2805;1105
538;2020;20.04.20;18557;136;52;69;113;192;379;671;985;1241;1505;2366;3708;3396;2640;1104
539;2020;27.04.20;17920;126;54;85;106;199;343;718;948;1200;1448;2295;3596;3294;2448;1060
540;2020;04.05.20;17651;123;43;69;121;184;407;686;961;1250;1370;2216;3460;3249;2474;1038
541;2020;11.05.20;17001;133;53;70;127;182;407;687;912;1217;1421;2178;3283;3082;2290;959
542;2020;18.05.20;17163;158;31;73;111;198;392;662;912;1234;1388;2124;3306;3216;2368;990
543;2020;25.05.20;16776;124;45;103;95;167;387;694;980;1203;1348;2119;3217;3074;2269;951
544;2020;01.06.20;17262;127;48;76;106;182;405;664;910;1210;1385;2127;3338;3162;2466;1056
545;2020;08.06.20;16601;150;48;67;119;180;369;655;919;1156;1333;2052;3276;3004;2299;974
546;2020;15.06.20;16401;150;57;72;101;192;372;680;905;1197;1374;2062;3153;2937;2195;954
547;2020;22.06.20;17293;135;40;73;113;184;390;687;915;1238;1428;2179;3310;3183;2424;994
548;2020;29.06.20;16457;126;77;77;109;189;367;702;945;1174;1366;2096;3120;2950;2213;946
549;2020;06.07.20;16142;152;51;77;99;181;379;647;873;1173;1248;2040;3188;2839;2241;954
550;2020;13.07.20;16537;133;57;63;106;177;395;667;917;1167;1340;2202;3161;2967;2272;913
551;2020;20.07.20;16887;137;49;83;105;173;371;646;949;1241;1324;2107;3351;3027;2366;958
552;2020;27.07.20;17433;147;47;76;98;179;402;676;965;1200;1402;2181;3335;3185;2478;1062
553;2020;03.08.20;17470;127;41;67;122;203;397;640;895;1247;1439;2111;3431;3170;2515;1065
554;2020;10.08.20;19720;161;61;91;128;219;410;712;1037;1361;1537;2410;3958;3690;2821;1124
555;2020;17.08.20;17559;139;34;69;113;171;332;693;909;1245;1445;2124;3438;3259;2539;1049
556;2020;24.08.20;16656;146;48;62;87;139;357;648;896;1184;1297;2032;3241;3047;2420;1052
557;2020;31.08.20;16789;128;41;65;111;163;383;679;909;1216;1397;2065;3266;3083;2268;1015
558;2020;07.09.20;17155;144;58;74;100;190;375;617;921;1217;1402;2127;3421;3154;2383;972
559;2020;14.09.20;17555;133;61;80;107;174;398;675;910;1184;1373;2267;3398;3318;2416;1061
560;2020;21.09.20;17446;148;51;69;108;183;386;643;925;1281;1446;2142;3449;3161;2377;1077
561;2020;28.09.20;17614;127;49;76;105;168;364;710;954;1167;1439;2177;3519;3268;2477;1014
562;2020;05.10.20;17501;129;42;67;124;163;397;698;904;1275;1452;2092;3488;3182;2510;978
563;2020;12.10.20;17754;112;46;71;104;176;378;695;973;1238;1515;2201;3397;3254;2512;1082
564;2020;19.10.20;18588;140;51;89;104;178;371;743;979;1321;1546;2232;3573;3512;2631;1118
565;2020;26.10.20;18584;141;44;81;92;184;386;636;964;1296;1546;2233;3780;3417;2682;1102
566;2020;02.11.20;19007;125;46;74;107;154;383;717;991;1308;1558;2318;3674;3651;2715;1186
567;2020;09.11.20;19727;127;39;74;100;192;398;673;977;1374;1605;2327;4062;3852;2749;1178
568;2020;16.11.20;20182;132;56;74;128;172;399;724;998;1280;1574;2514;4053;3934;2934;1210
569;2020;23.11.20;21304;116;44;73;96;202;402;743;1027;1352;1668;2544;4343;4170;3212;1312
570;2020;30.11.20;22604;154;53;102;119;188;396;725;1043;1455;1866;2624;4669;4421;3403;1386
571;2020;07.12.20;24003;130;44;76;129;203;429;762;1083;1438;1857;2837;4901;4862;3686;1566
572;2020;14.12.20;24724;106;57;96;119;172;398;763;1136;1480;1926;2899;5092;5054;3879;1547
573;2020;21.12.20;25554;147;51;91;123;171;398;770;1127;1476;1981;2977;5304;5218;4013;1707
574;2020;28.12.20;25541;126;49;84;114;203;444;801;1131;1620;1882;2976;5379;5085;4013;1634
575;2021;04.01.21;24919;110;47;72;114;183;444;802;1205;1512;1908;2864;5181;4965;3901;1611
576;2021;11.01.21;24532;122;50;72;123;244;430;804;1168;1536;1921;2839;5095;4809;3783;1536
577;2021;18.01.21;24129;124;56;70;116;215;447;775;1133;1543;1908;2786;4958;4849;3619;1530
578;2021;25.01.21;22674;142;57;70;117;167;453;770;1049;1493;1866;2577;4686;4386;3403;1438
579;2021;01.02.21;21773;135;59;82;123;184;459;760;1091;1471;1757;2557;4325;4175;3191;1404
580;2021;08.02.21;20946;106;46;65;115;197;419;734;1110;1452;1700;2459;4256;4065;2941;1281
581;2021;15.02.21;20493;114;36;70;118;201;416;753;1077;1394;1722;2400;4151;3824;2979;1238
582;2021;22.02.21;18979;138;43;77;111;175;404;655;1007;1340;1609;2359;3817;3564;2592;1088
583;2021;01.03.21;18455;154;40;94;128;193;383;728;942;1313;1583;2188;3804;3384;2453;1068
584;2021;08.03.21;18606;109;66;77;110;179;400;688;1049;1324;1635;2198;3655;3490;2583;1043
585;2021;15.03.21;18374;146;53;80;101;204;371;669;926;1332;1632;2148;3741;3336;2539;1096
586;2021;22.03.21;18437;106;53;66;118;192;396;706;1019;1336;1615;2260;3512;3435;2584;1039
587;2021;29.03.21;18520;136;52;80;123;197;415;712;1017;1298;1627;2292;3698;3418;2451;1004
588;2021;05.04.21;18873;128;45;84;117;193;424;745;996;1409;1697;2166;3771;3473;2590;1035
589;2021;12.04.21;19098;140;55;71;110;198;405;817;1039;1382;1773;2304;3737;3462;2545;1060
590;2021;19.04.21;19282;154;53;79;129;189;471;758;1093;1483;1750;2322;3684;3495;2535;1087
591;2021;26.04.21;19555;116;57;78;132;191;486;776;1138;1443;1742;2382;3913;3490;2507;1104
592;2021;03.05.21;19329;148;52;94;153;208;434;782;1117;1421;1788;2274;3765;3563;2471;1059
593;2021;10.05.21;18579;131;42;98;124;195;385;696;1003;1397;1729;2167;3694;3364;2504;1050
594;2021;17.05.21;17811;150;55;79;117;190;399;742;1010;1356;1703;2024;3474;3238;2298;976
595;2021;24.05.21;17193;144;49;76;96;178;379;697;983;1284;1574;1973;3298;3104;2364;994
596;2021;31.05.21;18191;157;46;86;115;169;383;735;1003;1399;1563;2031;3524;3380;2539;1061
597;2021;07.06.21;17442;149;37;78;118;182;387;744;981;1261;1555;2009;3480;3125;2351;985
598;2021;14.06.21;19076;164;44;82;124;190;413;734;1067;1327;1699;2160;3729;3564;2611;1168
599;2021;21.06.21;17191;161;57;83;113;198;347;653;998;1240;1464;1967;3352;3174;2406;978
600;2021;28.06.21;17013;149;47;74;104;164;392;723;970;1215;1522;1862;3395;3136;2256;1004
601;2021;05.07.21;16994;144;58;54;99;186;364;685;962;1245;1576;1888;3314;3105;2295;1019
602;2021;12.07.21;17662;138;64;87;125;193;367;704;996;1348;1560;2028;3362;3210;2406;1074
603;2021;19.07.21;17613;151;49;64;100;201;382;677;987;1278;1557;1937;3430;3279;2445;1076
604;2021;26.07.21;17211;140;50;63;107;193;347;673;948;1192;1577;1985;3473;3169;2265;1029
605;2021;02.08.21;17021;147;46;82;91;167;394;695;943;1239;1509;1889;3241;3252;2299;1027
606;2021;09.08.21;17560;137;58;89;111;168;377;684;926;1221;1572;1948;3325;3258;2555;1131
607;2021;16.08.21;17501;135;63;79;126;193;367;672;920;1274;1505;1982;3396;3303;2413;1073
608;2021;23.08.21;17151;144;36;69;105;161;360;673;999;1184;1531;1922;3404;3235;2324;1004
609;2021;30.08.21;17341;136;56;89;105;185;381;674;1011;1213;1498;1939;3395;3234;2379;1046
610;2021;06.09.21;18879;158;61;80;109;201;379;701;982;1348;1665;2074;3741;3548;2670;1162
611;2021;13.09.21;18057;147;58;100;109;177;388;642;969;1239;1570;2005;3583;3464;2516;1090
612;2021;20.09.21;18157;152;51;81;132;179;396;699;1026;1313;1614;1980;3538;3392;2509;1095
613;2021;27.09.21;18129;143;44;87;114;162;360;687;978;1299;1672;1968;3576;3482;2499;1058
614;2021;04.10.21;18209;143;50;84;92;183;407;724;1017;1307;1578;1895;3677;3423;2599;1030
615;2021;11.10.21;18949;124;55;76;124;188;408;732;1055;1301;1658;2046;3743;3631;2686;1122
616;2021;18.10.21;19761;156;62;96;126;164;379;735;1064;1386;1742;2122;3916;3821;2763;1229
617;2021;25.10.21;20387;163;53;79;110;202;377;765;1015;1375;1799;2177;4157;3890;2942;1283
618;2021;01.11.21;20426;131;55;50;94;186;400;711;1060;1414;1716;2223;4090;4021;2942;1333
619;2021;08.11.21;21071;132;47;73;144;214;380;760;1060;1467;1743;2287;4223;4227;2991;1323
620;2021;15.11.21;22344;166;46;77;137;193;443;767;1178;1502;1924;2398;4501;4375;3263;1374
621;2021;22.11.21;23273;146;49;91;153;206;465;784;1233;1527;2070;2529;4723;4651;3224;1422
622;2021;29.11.21;24185;155;60;77;161;200;444;884;1256;1665;2138;2570;4928;4763;3400;1484
623;2021;06.12.21;24032;130;53;93;147;207;446;849;1278;1633;2067;2568;4820;4848;3402;1491
624;2021;13.12.21;23009;141;53;94;127;213;444;803;1196;1651;1989;2571;4600;4593;3151;1383
625;2021;20.12.21;22479;146;47;97;126;193;440;776;1194;1585;1991;2370;4582;4390;3158;1384
626;2021;27.12.21;22155;132;50;87;121;205;445;769;1178;1529;1984;2391;4400;4354;3102;1408
627;2022;03.01.22;20726;128;51;92;135;170;430;755;1177;1444;1764;2234;4129;4081;2848;1288
628;2022;10.01.22;19838;149;51;72;114;211;394;716;1069;1388;1787;2138;3979;3812;2745;1213
629;2022;17.01.22;19764;144;64;88;109;173;403;710;1084;1310;1737;2177;3869;3853;2828;1215
630;2022;24.01.22;20145;144;44;68;125;169;385;706;1169;1454;1761;2250;3923;3965;2760;1222
631;2022;31.01.22;20649;130;43;83;131;175;380;735;1084;1404;1726;2217;4165;4050;2962;1364
632;2022;07.02.22;20424;157;47;92;118;175;392;743;1110;1360;1801;2197;4002;3965;2930;1335
633;2022;14.02.22;21130;153;50;82;135;171;372;740;1030;1420;1833;2175;4238;4217;3152;1362
634;2022;21.02.22;20359;127;49;91;142;191;396;725;1008;1400;1684;2132;4134;4007;2900;1373
635;2022;28.02.22;20717;144;63;89;120;166;340;710;1046;1406;1734;2200;3999;4208;3098;1394
636;2022;07.03.22;21156;144;49;71;121;201;403;691;1021;1404;1789;2245;4290;4171;3175;1381
637;2022;14.03.22;21288;139;52;68;127;182;388;684;1029;1405;1820;2237;4293;4289;3190;1385
638;2022;21.03.22;21129;145;57;89;105;191;389;681;1068;1405;1886;2195;4162;4228;3132;1396
639;2022;28.03.22;20812;139;50;80;105;196;393;707;1066;1404;1797;2171;4153;4220;3026;1305
640;2022;04.04.22;20841;137;61;81;120;192;396;753;1062;1393;1779;2195;4092;4144;3046;1390
641;2022;11.04.22;20182;153;52;89;124;188;382;717;1023;1349;1834;2102;3930;4003;2944;1292
642;2022;18.04.22;19497;101;65;83;129;170;372;668;1042;1353;1692;2036;3929;3748;2810;1299
643;2022;25.04.22;19281;127;51;78;127;163;359;689;1012;1369;1724;2021;3700;3855;2759;1247
644;2022;02.05.22;19096;148;52;81;127;176;353;665;1016;1381;1750;2050;3635;3832;2644;1186
645;2022;09.05.22;19144;140;38;89;136;162;388;738;1072;1322;1696;2012;3718;3706;2706;1221
646;2022;16.05.22;18429;139;44;81;128;182;359;641;1066;1302;1614;2024;3650;3591;2503;1105
647;2022;23.05.22;17091;140;58;74;108;169;325;622;888;1228;1533;1866;3326;3329;2411;1014
648;2022;30.05.22;17946;116;55;83;113;160;347;651;972;1312;1606;1846;3544;3578;2475;1088
649;2022;06.06.22;17812;132;47;105;129;152;384;647;974;1243;1592;1880;3409;3524;2484;1110
650;2022;13.06.22;18269;166;47;89;115;174;320;653;1048;1297;1695;1934;3600;3563;2497;1071
651;2022;20.06.22;18823;170;64;75;116;157;353;712;1011;1354;1650;2041;3609;3725;2600;1186
652;2022;27.06.22;18336;151;44;73;118;187;377;696;985;1354;1643;1923;3526;3567;2555;1137
653;2022;04.07.22;17923;143;54;94;134;162;369;638;976;1239;1675;1995;3450;3470;2498;1026
654;2022;11.07.22;18768;133;68;80;120;163;369;704;1013;1356;1663;2016;3706;3665;2620;1092
655;2022;18.07.22;20762;156;61;84;126;168;393;695;1139;1393;1868;2200;4094;4152;2952;1281
656;2022;25.07.22;20045;140;56;85;129;168;362;695;1041;1348;1749;2203;3898;4071;2806;1294
657;2022;01.08.22;19399;132;41;80;110;156;339;649;981;1330;1697;1965;3909;4025;2779;1206
658;2022;08.08.22;19486;133;51;71;137;174;376;707;992;1355;1741;2087;3763;3908;2766;1225
659;2022;15.08.22;19719;101;49;61;125;150;340;694;1079;1348;1711;2034;3840;3979;2919;1289
