date	region	impfungen_min1	impfungen_gi	impfungen_boost1	impfungen_boost2	impfquote_min1	impfquote_5bis11_min1	impfquote_12bis17_min1	impfquote_18bis59_min1	impfquote_18plus_min1	impfquote_60plus_min1	impfquote_gi	impfquote_5bis11_gi	impfquote_12bis17_gi	impfquote_18bis59_gi	impfquote_18plus_gi	impfquote_60plus_gi	impfquote_boost1	impfquote_12bis17_boost1	impfquote_18bis59_boost1	impfquote_18plus_boost1	impfquote_60plus_boost1	impfquote_boost2	impfquote_12bis17_boost2	impfquote_18bis59_boost2	impfquote_18plus_boost2	impfquote_60plus_boost2	count_18_to_59_min1	count_18_to_59_gi	count_18_to_59_boost1	count_18_to_59_boost2	count_60_and_above_min1	count_60_and_above_gi	count_60_and_above_boost1	count_60_and_above_boost2	count_12_to_17_min1	count_12_to_17_gi	count_12_to_17_boost1	count_12_to_17_boost2	count_5_to_11_min1	count_5_to_11_gi	count_5_to_11_boost1	count_5_to_11_boost2
2022-09-02	DE-BUND	64764834	63435241	51571111	7275678	77.9	22.6	74.4	83.9	86.8	92.1	76.3	20.2	69.4	82.2	85.3	91.2	62	30.9	65	72.3	85.9	8.7	0.6	2.8	10.4	24.7	36203771	37244045	29467081	1289930	21735724	21975724	20685915	5959522	3344431	3127291	1391709	25218	1190891	1060837	8282	373
2022-09-02	DE-SH	2354617	2324164	2038404	484089	80.9	31.1	93.7	84.7	88	93.9	79.8	30.3	88.1	83.9	87.2	92.9	70	47.2	73.7	80.3	92.1	16.6	0.7	4.8	19.8	46.2																
2022-09-02	DE-HH	1604907	1561943	1221129	185876	86.6	30.1	80.7	96.2	96.9	98.7	84.3	24.5	75.8	93.5	94.9	98.3	65.9	28.9	71.7	77.5	92	10	0.8	3.8	12	32.6																
2022-09-02	DE-NI	6397937	6221956	5340963	957251	79.9	27.4	81.2	84.9	88.4	94.7	77.7	24.5	75.6	82.9	86.3	92.7	66.7	39	70.9	77.4	89.4	12	0.8	3.7	14.3	33.7																
2022-09-02	DE-HB	620364	596091	451486	93226	91.2	23.2	78.9	104.2	102.5	98.9	87.6	19.9	73	99.1	98.8	98.3	66.4	28.3	71	77.7	91.3	13.7	0.6	5	16.4	39.4																
2022-09-02	DE-NW	14645024	14229463	11720691	2169247	81.7	28.4	80.6	89	90.8	94.4	79.4	24.7	75.2	86	88.5	93.2	65.4	35.2	69.6	76.2	89	12.1	0.7	4.2	14.5	34.4																
2022-09-02	DE-HE	4936005	4742375	3805487	526265	78.4	24.2	75.9	84.9	87.3	92	75.4	21.1	68.5	81.6	84.4	89.8	60.5	30.8	63.7	70.6	84.5	8.4	0.6	3	10	24																
2022-09-02	DE-RP	3238864	3100667	2592966	380623	79	24	76.3	83.8	87.7	94.8	75.7	21.8	70.2	80.4	84.3	91.3	63.3	33.2	66.3	73.5	86.4	9.3	0.6	2.8	11.1	26																
2022-09-02	DE-BW	8404483	8272024	6758392	660585	75.7	19.7	71	81.8	84.8	90.9	74.5	17.4	66.6	80.6	83.8	90.3	60.9	30.3	64.4	71.2	85	5.9	0.5	1.8	7.1	18																
2022-09-02	DE-BY	9899332	9885559	7733589	793638	75.3	21.5	74.5	81.1	83.8	89.4	75.2	19.7	70.2	81.4	84.1	89.6	58.9	27.2	61.3	68.8	83.9	6	0.4	1.8	7.2	18.1																
2022-09-02	DE-SL	822431	808441	678414	95898	83.6	19	78.7	90.4	92.3	95.2	82.2	17.2	73.7	88.5	91	95	68.9	33.9	72	79	90.1	9.7	0.6	3.1	11.4	24.9																
2022-09-02	DE-BE	2895411	2863872	2314099	304095	79	26.3	72.7	84.3	88.5	98.1	78.2	24.4	68.2	83.4	87.8	98.2	63.2	30.8	66.7	73.9	90.8	8.3	0.5	2.8	9.9	26.6																
2022-09-02	DE-BB	1721713	1725908	1402044	146815	68	11.2	60.3	72.4	76.3	82.1	68.2	9.4	55.2	71.9	76.9	84.5	55.4	20.2	53.9	64.6	80.8	5.8	0.4	2	6.9	14.3																
2022-09-02	DE-MV	1217845	1202745	961079	128872	75.6	10.7	63.3	79.8	84.7	91.8	74.7	8.8	58.2	78.6	84	92	59.7	21.8	58.4	69.1	84.8	8	0.7	2	9.4	20.3																
2022-09-02	DE-SN	2677866	2625998	2023034	136702	66	7.7	47.6	68	75	85.5	64.7	6.9	44.9	66.6	73.7	84.3	49.9	14.9	47.6	58.4	74.5	3.4	0.3	0.8	4	8.7																
2022-09-02	DE-ST	1618612	1604766	1252777	122498	74.2	8.8	58.3	77.4	83.2	91.2	73.6	7.7	53.9	76.7	82.8	91.3	57.4	18.1	54.5	66.4	83.1	5.6	0.5	1.4	6.6	13.8																
2022-09-02	DE-TH	1507433	1479630	1133411	88495	71.1	11.5	54.8	73.9	79.9	88.3	69.8	10.9	52.7	71.6	78.5	88.3	53.5	19.3	50.8	62	78	4.2	0.3	1.5	4.9	9.8																